#Jahr	Monat	Tag	Stunde	T_Mid	p_Mid	cor_p_Mid	Ns	I_Mid	L_Mid	v_Mid	R_Mid	N	NNO	NO	ONO	O	OSO	SO	SSO	S	SSW	SW	WSW	W	WNW	NW	NNW	
2023     01      03     23  7.9    994.9    1022.6    0.0    0.0    70.6    4.2    201.0    30  47  25  25  15  17  14  3   68  300 107 12  10  24  23  0   
2023     01      04     00  8.4    994.1    1021.8    0.0    0.0    70.7    4.2    207.7    25  49  16  21  19  25  9   6   76  240 128 31  28  30  18  0   
2023     01      04     01  8.6    992.8    1020.4    0.5    0.5    72.4    4.4    210.9    33  44  19  28  23  17  7   5   66  247 125 25  15  42  25  0   
2023     01      04     02  8.5    992.2    1019.8    0.0    0.0    76.2    4.4    204.7    31  52  29  37  30  9   9   5   52  222 120 38  13  42  31  0   
2023     01      04     03  8.4    992.0    1019.6    0.1    0.1    79.6    4.5    211.6    32  52  21  16  22  14  7   5   63  268 111 24  19  37  30  0   
2023     01      04     04  8.8    991.2    1018.8    0.8    0.8    79.3    5.2    206.1    37  36  26  22  20  21  4   7   87  300 71  19  20  36  15  0   
2023     01      04     05  9.0    990.6    1018.2    0.0    0.0    79.9    5.5    205.1    27  40  17  16  25  16  16  8   100 290 68  30  15  39  14  0   
2023     01      04     06  9.4    990.1    1017.6    0.0    0.0    78.8    5.9    204.1    25  42  19  19  19  21  8   8   112 313 54  16  12  38  15  0   
2023     01      04     07  9.8    989.8    1017.3    0.0    0.0    77.2    6.1    211.4    31  42  11  6   19  13  11  6   82  332 77  11  17  35  27  0   
2023     01      04     08  9.9    989.7    1017.2    0.0    0.0    79.1    6.3    210.1    26  34  8   18  8   16  6   7   97  370 68  8   13  25  17  0   
2023     01      04     09  10.2    989.6    1017.1    0.0    0.0    78.1    6.0    210.5    22  37  12  13  12  19  7   5   94  365 64  7   17  27  20  0   
2023     01      04     10  10.3    989.5    1017.0    0.0    0.0    78.7    6.3    208.4    24  33  11  10  19  17  10  8   105 351 58  11  11  38  15  0   
2023     01      04     11  10.4    989.5    1017.0    0.3    0.3    80.4    6.1    207.9    27  32  8   12  17  22  10  6   96  372 63  11  5   25  14  0   
2023     01      04     12  10.5    988.9    1016.4    0.3    0.3    82.5    6.6    212.2    20  32  7   6   9   9   11  4   95  412 69  5   7   28  7   0   
2023     01      04     13  10.6    988.5    1016.0    0.0    0.0    83.1    6.8    209.5    21  36  8   12  21  13  10  7   85  416 31  12  11  19  19  0   
2023     01      04     14  10.7    988.2    1015.7    0.2    0.2    84.1    6.5    211.3    26  36  4   8   13  12  6   7   105 408 52  6   5   19  14  0   
2023     01      04     15  10.9    988.0    1015.5    0.0    0.0    84.3    5.7    214.8    28  31  4   14  12  10  11  5   111 332 70  16  16  39  22  0   
2023     01      04     16  11.1    987.7    1015.2    0.1    0.1    84.6    5.9    209.5    25  34  16  17  10  12  10  7   95  378 52  11  5   29  19  0   
2023     01      04     17  11.2    987.9    1015.4    0.9    0.9    83.8    6.1    204.9    27  36  19  18  21  18  9   6   127 317 39  14  12  38  20  0   
2023     01      04     18  11.4    988.2    1015.7    0.0    0.0    77.7    6.6    200.0    35  40  22  30  25  19  7   12  133 301 23  11  12  33  18  0   
2023     01      04     19  11.5    988.4    1015.9    0.0    0.0    75.1    5.8    198.2    30  36  28  23  35  24  14  10  125 290 44  9   11  26  16  0   
2023     01      04     20  11.5    988.5    1016.0    0.0    0.0    73.5    6.3    201.5    32  43  15  16  21  21  9   11  140 288 48  10  13  37  17  0   
2023     01      04     21  11.4    988.8    1016.3    0.0    0.0    73.7    6.5    202.2    23  30  16  27  24  16  12  10  148 313 31  5   12  34  19  0   
2023     01      04     22  11.1    988.8    1016.3    0.0    0.0    75.4    6.0    199.5    33  36  19  27  31  14  13  20  154 258 27  9   23  40  17  0   
2023     01      04     23  10.6    989.1    1016.6    0.0    0.0    75.7    5.4    196.0    23  40  21  38  31  16  17  9   130 279 44  10  17  31  15  0   
2023     01      05     00  10.2    989.4    1016.9    0.0    0.0    77.2    5.1    197.3    22  37  20  43  35  21  9   9   150 268 34  14  10  31  17  0   
2023     01      05     01  10.1    989.8    1017.3    0.0    0.0    77.3    5.2    202.2    28  26  13  15  23  15  15  13  151 321 29  9   17  33  13  0   
2023     01      05     02  10.2    989.8    1017.3    0.0    0.0    76.6    4.6    188.2    24  42  13  60  49  29  15  19  115 258 25  7   17  29  19  0   
2023     01      05     03  10.0    990.3    1017.8    0.0    0.0    77.1    3.8    174.8    44  52  34  65  64  55  27  14  103 149 29  7   19  40  19  0   
2023     01      05     04  9.9    990.5    1018.0    0.0    0.0    77.4    4.4    193.7    24  43  25  40  42  23  14  12  135 252 32  15  15  29  19  0   
2023     01      05     05  9.9    990.6    1018.2    0.0    0.0    77.2    4.1    189.3    36  40  22  38  48  25  26  10  146 220 23  15  17  36  19  0   
2023     01      05     06  9.9    990.8    1018.3    0.0    0.0    77.2    4.4    188.5    24  46  32  36  48  31  22  6   137 233 25  13  12  35  21  0   
2023     01      05     07  9.8    991.3    1018.9    0.0    0.0    77.4    4.3    196.5    28  47  15  28  28  33  17  21  182 217 27  10  17  36  15  0   
2023     01      05     08  9.7    991.9    1019.5    0.0    0.0    78.1    4.0    189.2    35  50  18  53  45  33  18  9   130 198 34  15  21  35  27  0   
2023     01      05     09  9.7    992.5    1020.1    0.0    0.0    78.5    3.8    192.6    34  48  21  38  39  29  19  11  152 205 24  19  17  43  21  0   
2023     01      05     10  9.7    993.0    1020.6    0.0    0.0    77.9    3.5    189.8    31  49  22  35  40  33  18  18  140 211 34  11  18  44  17  0   
2023     01      05     11  9.8    993.6    1021.2    0.0    0.0    76.7    2.9    186.4    38  75  17  37  42  42  16  11  135 156 35  22  27  40  28  0   
2023     01      05     12  10.0    993.7    1021.3    0.0    0.0    76.9    2.8    189.0    41  55  22  33  43  36  12  20  157 163 32  15  23  45  24  0   
2023     01      05     13  10.1    993.5    1021.1    0.0    0.0    76.1    3.1    197.1    36  34  14  26  35  26  29  15  132 249 50  11  18  33  12  0   
2023     01      05     14  10.4    993.3    1020.9    0.0    0.0    74.3    2.9    200.2    24  29  22  37  19  18  9   18  139 286 40  17  18  28  17  0   
2023     01      05     15  10.3    993.4    1021.0    0.0    0.0    75.9    3.0    204.4    35  19  17  20  28  17  10  15  124 328 51  5   12  28  12  0   
2023     01      05     16  9.5    993.5    1021.1    0.0    0.0    85.3    2.0    202.4    20  38  22  18  21  28  16  16  115 287 66  17  13  26  18  0   
2023     01      05     17  9.7    993.0    1020.6    0.0    0.0    87.1    2.4    213.2    27  39  18  22  22  11  10  8   63  253 129 36  33  31  19  0   
2023     01      05     18  10.3    992.9    1020.5    0.0    0.0    86.4    3.2    210.5    23  22  11  17  10  19  13  12  120 338 68  16  13  27  11  0   
2023     01      05     19  10.5    992.6    1020.2    0.0    0.0    87.1    2.8    211.0    17  28  9   14  14  12  11  19  123 356 60  11  9   32  6   0   
2023     01      05     20  10.6    992.4    1020.0    0.0    0.0    87.6    3.1    210.3    21  32  10  15  16  14  14  14  118 349 44  9   17  32  16  0   
2023     01      05     21  10.6    992.2    1019.8    0.0    0.0    86.9    3.9    212.9    19  24  13  18  12  12  8   10  132 362 39  10  12  33  17  0   
2023     01      05     22  10.6    992.1    1019.7    0.0    0.0    86.2    4.0    212.0    26  31  9   4   4   3   8   24  157 340 52  15  10  32  6   0   
2023     01      05     23  10.3    991.9    1019.5    0.0    0.0    84.5    3.7    210.0    22  30  20  13  19  7   7   6   128 352 60  14  9   15  18  0   
2023     01      06     00  10.0    991.8    1019.4    0.0    0.0    81.1    3.6    213.4    18  19  7   11  9   13  11  6   122 391 70  10  6   20  8   0   
2023     01      06     01  10.0    991.4    1019.0    0.0    0.0    80.4    3.7    208.9    20  26  10  8   14  15  13  8   124 360 64  16  8   23  11  0   
2023     01      06     02  9.9    991.1    1018.7    0.0    0.0    78.5    3.7    210.3    26  21  12  14  14  13  14  8   94  365 79  16  14  18  13  0   
2023     01      06     03  9.8    990.7    1018.3    0.0    0.0    78.5    4.3    214.2    18  16  14  12  15  23  10  9   124 338 58  17  16  37  14  0   
